Michigan Tech CXC Junior Cup 2017 - Classic Mass Start,,,,,,,
Results - 12/17/2017,,,,,,,
Rank, Bib,Name,Club,Class,USSA#,FIS#,Time
Girls U16 5K Female,,,,,,,
1,284,Ericka Asmus,Superiorland Ski Clu,FU16,6728331,,0:19:10.1
2,283,Gretchen Haggenmiller,Duluth XC Ski Club,FU16,6724132,3535778,0:19:21.4
3,301,Sudie Hall,Loppet Nordic Racing,FU16,6790091,,0:19:31.1
4,281,Libby Tuttle,Loppet Nordic Racing,FU16,6646202,,0:19:33.3
5,295,Mia Case,Lakeland Nordic Ski,FU16,6792972,,0:19:36.2
6,285,Amelea Hauer,The Ski Farm,FU16,6737951,,0:19:40.6
7,304,Lauren McCollor,Wayzata Nordic Ski C,FU16,6717805,,0:20:16.5
8,282,Anni Skillicorn,Loppet Nordic Racing,FU16,6643142,,0:20:21.0
9,292,Celeste Alden,Minneapolis Ski Club,FU16,6814362,,0:20:33.5
10,286,Sydney Peterson,Loppet Nordic Racing,FU16,6682769,3535793,0:20:47.9
11,307,Elsa Viren,Mt. Itasca Nordic,FU16,6252550,,0:21:13.9
12,297,Maeve Moening,Minneapolis Ski Club,FU16,6664965,,0:21:29.5
13,306,Eliana Malnourie,,FU16,6818942,,0:21:42.6
14,300,Liv Myers,Loppet Nordic Racing,FU16,6760946,,0:21:47.6
15,288,Johanna Schwinghamer,Mora Ski Club,FU16,6760839,,0:22:00.8
16,312,Jane Straka,Peak Nordic,FU16,,,0:22:13.4
17,305,Nina Chosy,Madison Nordic Ski C,FU16,6814370,,0:22:26.3
18,303,Ashley Peterson,Lakeland Nordic Ski,FU16,6794952,,0:22:28.5
19,287,Gabrielle Kraemer,Loppet Nordic Racing,FU16,6715999,,0:23:04.4
20,299,Ella Hoch Robinson,Loppet Nordic Racing,FU16,6797831,,0:23:14.7
21,293,Erika Peterson,Loppet Nordic Racing,FU16,6800692,,0:23:16.5
22,309,Ingrid Halverson,Wayzata Nordic Ski C,FU16,,,0:23:20.8
23,289,Britt Harrison,Endurance United,FU16,6759229,,0:23:26.3
24,294,Spirit Hess,Bay Nordic,FU16,6803944,,0:23:32.5
25,290,Ainsley Casper,Madison Nordic Ski C,FU16,6823026,,0:23:46.7
26,296,Julia Schwinghamer,Ely Nordic,FU16,6819676,,0:23:50.9
27,302,Arielle Jean,Vasa Ski Club/TC Wes,FU16,6822019,,0:24:27.2
28,298,Aubrie Ecker,Chippewa Valley Nord,FU16,6743686,,0:25:10.9
29,308,Madeline Stencil,Bay Nordic,FU16,,,0:27:51.1
30,311,Anna Snudden,Bay Nordic,FU16,,,0:28:52.2
31,291,Ella Boelter,Sartell,FU16,6743116,,0:30:17.6
www.SuperiorTiming.com,,,12/29/2017 10:40 -31,,,,1
