2/7/2018,,Gopher State Events Cross-Country Results,,,,,,,,
,Gopher State Events,,,,,,,,,
,GSE Nordic Ski Results,,,,,,,,,
,Meet:,,,,,,,,,
,Section 8 Classic Pursuit (2/6/2018),,,,,,,,,
,View This Meet,,,,,,,,,
,Race:,,,,,,,,,
,Boys Classic,,,,,,,,,
,Get Results,,,,,,,,,
,PRELIMINARY RESULTS...UNOFFICIAL...SUBJECT TO CHANGE. Please report any issues to,,,,,,,,,
,bob.schneider@gopherstateevents.com.,,,,,,,,,
,Technique: Classical, Total Finishers: 139, Race Finishers: 70, Distance: 5 kms, Site/Location: Camp Ripley,,,,,
,Results By Team, Download,,,,,,,,
,Team Results: Top 4 Per Team,,,,,,,,,
,Pl,Team,Score,R1,R2,R3,R4,R5,R6,R7
,1,Cathedral-Sartell,386,1,4,5,8,21,38,41
,2,Little Falls,375,2,3,11,13,18,23,36
,3,Brainerd,349,6,9,14,26,35,42,43
,4,Bemidji,345,7,16,17,19,22,32,33
,5,St Cloud Tech,313,10,20,30,31,37,40,45
,6,Alexandria,310,15,24,27,28,29,34,46
,7,Moorhead,280,12,25,39,48,49,50,51
,8,Detroit Lakes,195,47,53,54,55,58,59,62
,9,Willmar,163,56,57,63,65,67,68,70
,10,St. Cloud Apollo,118,52,64,69,,,,
,11,Otter Tail Nordic,98,44,60,,,,,
,12,Trek North,75,61,66,,,,,
,Individual Results,,,,,,,,,
http://www.gopherstateevents.com/results/cc_rslts/cc_rslts.asp?sport=Nordic%20Ski&meet_id=455&rslts_page=overall_rslts.asp&show_indiv=n,,,,,,,,,1/4,
2/7/2018,,,Gopher State Events Cross-Country Results,,,,,
Place,Bib-Name,Gr,Team,Comb Time,Freestyle,,Classical,
,Gopher State Events,,,,,,,
,,,,,Rank,Time,Rank,Time
1),501-Alex Nemeth,11,Cathedral-Sartell,26:51.600,1,13:06.000,2,13:45.600
2),502-Hunter Zupko,12,Little Falls,27:01.800,2,13:24.000,1,13:37.800
3),503-Colton Yorek,11,Little Falls,28:28.500,3,14:05.000,5,14:23.500
4),506-Zach Nemeth,10,Cathedral-Sartell,28:46.500,6,14:27.000,3,14:19.500
5),507-Will Nemeth,10,Cathedral-Sartell,28:51.000,7,14:29.000,4,14:22.000
6),505-Evan Storbakken,11,Brainerd,28:51.600,5,14:24.000,6,14:27.600
7),504-Soren Dybing,12,Bemidji,29:04.800,4,14:09.000,11,14:55.800
8),513-Ben Boelter,10,Cathedral-Sartell,29:27.500,13,14:54.000,7,14:33.500
9),514-Andrew Wasniewski,12,Brainerd,29:32.200,14,14:54.000,8,14:38.200
10),508-Tennessee Scott-Lumbar,11,St Cloud Tech,29:34.800,8,14:39.000,10,14:55.800
11),515-Cormac Shanoff,10,Little Falls,29:48.900,16,14:56.000,9,14:52.900
12),510-Isaac Wicklund,11,Moorhead,29:56.600,10,14:47.000,18,15:09.600
13),512-JACKSON GRANT,9,Little Falls,29:59.700,12,14:53.000,16,15:06.700
14),516-Maxim Osborne,11,Brainerd,30:11.300,15,14:56.000,19,15:15.300
15),517-Jackson Wichtendahl,12,Alexandria,30:13.500,17,15:07.000,14,15:06.500
16),519-Logan Jensen,9,Bemidji,30:13.300,19,15:13.000,13,15:00.300
17),509-Zac Skoe,11,Bemidji,30:17.400,9,14:41.000,21,15:36.400
18),525-Colton Gottwalt,11,Little Falls,30:40.700,25,15:42.000,12,14:58.700
