2/8/2018,,Gopher State Events Cross-Country Results,,,,,,,,
,Gopher State Events,,,,,,,,,
,GSE Nordic Ski Results,,,,,,,,,
,Meet:,,,,,,,,,
,Section 5 Skate Pursuit (2/7/2018),,,,,,,,,
,View This Meet,,,,,,,,,
,Race:,,,,,,,,,
,Boys SkatePursuit,,,,,,,,,
,Get Results,,,,,,,,,
,PRELIMINARY RESULTS...UNOFFICIAL...SUBJECT TO CHANGE. Please report any issues to,,,,,,,,,
,bob.schneider@gopherstateevents.com.,,,,,,,,,
,Technique: Freestyle, Total Finishers: 159, Race Finishers: 83, Distance: 5 kms, Site/Location: Theodore Wirth,,,,,
,Results By Team, Download,,,,,,,,
,Team Results: Top 4 Per Team,,,,,,,,,
,Pl,Team,Score,R1,R2,R3,R4,R5,R6,R7
,1,Mora,377,1,6,9,11,34,45,
,2,Blaine,359,2,7,15,21,31,56,66
,3,Champlin Park,337,8,10,23,26,32,35,37
,4,Andover,325,5,19,27,28,36,44,54
,5,Maple Grove,320,4,12,22,46,48,51,53
,6,Elk River,317,13,16,25,33,61,63,83
,7,Coon Rapids,299,18,20,24,43,52,57,59
,8,Rogers,261,17,39,40,47,55,77,82
,9,Osseo,250,14,29,49,62,65,68,75
,10,Anoka,244,30,38,42,50,58,60,64
,11,Spring Lake Park,191,3,67,71,72,76,78,81
,12,Park Center,151,41,69,70,73,74,79,80
,Individual Results,,,,,,,,,
http://www.gopherstateevents.com/results/cc_rslts/cc_rslts.asp?sport=Nordic%20Ski&meet_id=454&rslts_page=overall_rslts.asp&show_indiv=n,,,,,,,,,1/4,
2/8/2018,,,Gopher State Events Cross-Country Results,,,,,
Place,Bib-Name,Gr,Team,Comb Time,Classical,,Freestyle,
,Gopher State Events,,,,,,,
,,,,,Rank,Time,Rank,Time
1),201-Cooper Lennox,10,Mora,30:17.800,1,16:02.000,2,14:15.800
2),202-Ben Olson,12,Blaine,30:31.200,2,16:38.000,1,13:53.200
3),205-Joe Lynch,11,Spring Lake Park,31:22.300,5,17:00.000,4,14:22.300
4),203-CJ Young,10,Maple Grove,31:23.700,3,16:42.000,5,14:41.700
5),206-Tom Breuckman,12,Andover,31:26.900,6,17:06.000,3,14:20.900
6),204-James Woolhouse,12,Mora,31:51.000,4,16:59.000,7,14:52.000
7),210-James Symanski,12,Blaine,32:31.300,10,17:40.000,6,14:51.300
8),207-Matt Omann,12,Champlin Park,32:39.700,7,17:20.000,13,15:19.700
9),208-Jordan Woods,12,Mora,32:40.000,8,17:24.000,11,15:16.000
10),209-Mark Scheller,10,Champlin Park,32:53.900,9,17:33.000,14,15:20.900
11),211-Nathan Williams,11,Mora,33:03.700,11,17:42.000,15,15:21.700
12),213-Max Kivi,12,Maple Grove,33:05.200,13,18:00.000,8,15:05.200
13),216-Noah Haaf,12,Elk River,33:23.200,15,18:10.000,9,15:13.200
14),214-Nicholas Kjome,10,Osseo,33:41.500,14,18:08.000,17,15:33.500
15),222-Nicholas Jacobson,11,Blaine,33:53.500,22,18:40.000,10,15:13.500
16),219-Noah Adams,12,Elk River,33:53.300,19,18:25.000,16,15:28.300
17),221-Ethan Anderson,11,Rogers,33:57.300,21,18:38.000,12,15:19.300
18),217-Ricky Petroff,9,Coon Rapids,34:13.800,17,18:13.000,19,16:00.800
19),212-Blake Weiss,10,Andover,34:31.200,12,17:58.000,24,16:33.200
20),215-Mitch Zandaroski,12,Coon Rapids,34:37.900,16,18:10.000,23,16:27.900
