Mesabi East Invitational 2018,,,,,,,,
Boys Varsity,,,,,,,,
Rank,Bib,Name,Team,Technique,Time,Pace,Time Back,Points
Boys Varsity,,,,,,,,
Classic,,,,,,,,
1,29,Garrett Beckrich,Grand Rapids HS Nordic Ski Team,Classic,0:15:15.4,3:03 Min/Km,-,142
2,8,Ryan Mead,Forest Lake Nordic Team,Classic,0:15:22.7,3:04 Min/Km,0:07.2,141
3,35,Hunter Zupko,Little Falls High School,Classic,0:15:38.7,3:07 Min/Km,0:23.2,140
4,24,Cooper Lennox,Mora Ski Club,Classic,0:15:39.6,3:07 Min/Km,0:24.1,139
5,49,Ben Wicklund,Stillwater Area High School,Classic,0:15:42.6,3:08 Min/Km,0:27.2,138
6,59,Sam Stertz,Grand Rapids HS Nordic Ski Team,Classic,0:15:56.5,3:11 Min/Km,0:41.0,137
7,3,Charlie Reinhardt,Mound Westonka High School,Classic,0:16:04.1,3:12 Min/Km,0:48.6,136
8,93,Henry Snider,Mounds Park Academy,Classic,0:16:12.7,3:14 Min/Km,0:57.2,135
9,113,Anders Carlson,Edina High School,Classic,0:16:17.2,3:15 Min/Km,1:01.7,134
10,43,Scott Shield,White Bear Lake,Classic,0:16:21.0,3:16 Min/Km,1:05.5,133
11,52,August Blanchett,Edina High School,Classic,0:16:21.9,3:16 Min/Km,1:06.4,132
12,74,Carl Bohacek,Stillwater Area High School,Classic,0:16:26.0,3:17 Min/Km,1:10.5,131
13,15,Sam Chandler,Duluth East HS,Classic,0:16:28.1,3:17 Min/Km,1:12.6,130
14,105,Evan Dybvig,Stillwater Area High School,Classic,0:16:29.5,3:17 Min/Km,1:14.0,
15,75,Charlie Babcock,Forest Lake Nordic Team,Classic,0:16:38.0,3:19 Min/Km,1:22.5,128
16,32,Cj Young,Maple Grove Senior High,Classic,0:16:42.2,3:20 Min/Km,1:26.7,127
17,45,Ty Christianson,Mounds View High School,Classic,0:16:49.3,3:21 Min/Km,1:33.9,126
18,12,Owen Gage,Edina High School,Classic,0:16:52.3,3:22 Min/Km,1:36.8,
19,13,Logan Hoffman,Hopkins,Classic,0:16:52.8,3:22 Min/Km,1:37.3,124
20,21,Nick Greenlund,Roseville Area High School,Classic,0:16:53.0,3:22 Min/Km,1:37.5,123
21,26,Evan Storbakken,Brainerd,Classic,0:16:54.8,3:22 Min/Km,1:39.3,122
22,30,Reid Lesar,ME / VA / EG Nordic Team,Classic,0:16:56.2,3:23 Min/Km,1:40.7,121
23,153,Nate Garwood,Superiorland,Classic,0:16:59.6,3:23 Min/Km,1:44.1,120
24,14,Nikolai Huotori,Copper Country Ski Tigers,Classic,0:17:00.8,3:24 Min/Km,1:45.3,119
25,103,Nathan Williams,Mora Ski Club,Classic,0:17:01.9,3:24 Min/Km,1:46.4,118
26,126,Drew Sampson,Forest Lake Nordic Team,Classic,0:17:07.9,3:25 Min/Km,1:52.4,
27,41,Tyler Northey,CEC Nordic,Classic,0:17:09.2,3:25 Min/Km,1:53.7,116
,,,,,,,,1
Mesabi East Invitational 2018,,,,,,,,
Boys Varsity,,,,,,,,
