Mesabi East Invitational 2018,,,,,,,,
Girls Varsity,,,,,,,,
Rank,Bib,Name,Team,Technique,Time,Pace,Time Back,Points
Girls Varsity,,,,,,,,
Freestyle,,,,,,,,
1,627,Hannah Bettendorf,Proctor/Hermantown,Freestyle,0:16:46.1,3:21 Min/Km,-,135
2,624,Libby Tuttle,Stillwater Area High School,Freestyle,0:17:14.6,3:26 Min/Km,0:28.4,134
3,616,Regan Duffy,Forest Lake Nordic Team,Freestyle,0:17:44.1,3:32 Min/Km,0:58.0,133
4,620,Charlie Brown,Benilde-St. Margaret,Freestyle,0:17:47.7,3:33 Min/Km,1:01.6,132
5,680,Emma Albrecht,Stillwater Area High School,Freestyle,0:18:02.2,3:36 Min/Km,1:16.1,131
6,649,Lauren Mccollor,Wayzata,Freestyle,0:18:32.6,3:42 Min/Km,1:46.5,130
7,621,Elsa Viren,Grand Rapids HS Nordic Ski Team,Freestyle,0:18:43.3,3:44 Min/Km,1:57.2,129
8,658,Nora Vos,Duluth East HS,Freestyle,0:18:55.1,3:47 Min/Km,2:08.9,128
9,636,Lauren Johnson,Andover High School,Freestyle,0:19:03.5,3:48 Min/Km,2:17.4,127
10,661,Bethany Miller,Alexandria,Freestyle,0:19:08.8,3:49 Min/Km,2:22.6,126
10,648,Cheresa Bouley,Elk River/Zimmerman,Freestyle,0:19:08.8,3:49 Min/Km,2:22.6,126
12,656,Dahms Carly,Roseville Area High School,Freestyle,0:19:11.2,3:50 Min/Km,2:25.1,124
13,639,Sadie Hamrin,Bemidji High School,Freestyle,0:19:14.6,3:50 Min/Km,2:28.5,123
14,687,Megan Bettendorf,Proctor/Hermantown,Freestyle,0:19:17.0,3:51 Min/Km,2:30.9,122
15,638,Christine Hafdahl,ME / VA / EG Nordic Team,Freestyle,0:19:20.1,3:52 Min/Km,2:34.0,121
16,652,Jenny Haus,Orono High School,Freestyle,0:19:28.0,3:53 Min/Km,2:41.9,120
17,630,Stormy Hegg,Alexandria,Freestyle,0:19:30.9,3:54 Min/Km,2:44.7,119
18,657,Chloe Foster,Forest Lake Nordic Team,Freestyle,0:19:36.1,3:55 Min/Km,2:49.9,118
19,633,Franny Slater,CEC Nordic,Freestyle,0:19:38.3,3:55 Min/Km,2:52.2,117
20,654,Taylor Krone,Anoka High Schoo,Freestyle,0:19:40.5,3:56 Min/Km,2:54.4,116
21,671,Evelyn Bercher,Ely HS,Freestyle,0:19:41.2,3:56 Min/Km,2:55.1,115
22,625,Laura Pasmick,Ely HS,Freestyle,0:19:43.4,3:56 Min/Km,2:57.3,114
23,734,Hannah Brown,Stillwater Area High School,Freestyle,0:19:44.7,3:56 Min/Km,2:58.6,
24,611,Grace Erholtz,Brainerd,Freestyle,0:19:51.6,3:58 Min/Km,3:05.4,112
25,667,Lauren Johnson,Winona HS Nordic Ski Team,Freestyle,0:20:00.8,4:00 Min/Km,3:14.7,111
26,628,Lydia Heyworth,Hayward Nordic Ski Team,Freestyle,0:20:02.8,4:00 Min/Km,3:16.7,110
27,612,Molly Lange,Little Falls High School,Freestyle,0:20:03.5,4:00 Min/Km,3:17.4,109
,,,,,,,,1
Mesabi East Invitational 2018,,,,,,,,
Girls Varsity,,,,,,,,
Rank,Bib,Name,Team,Technique,Time,Pace,Time Back,Points
28,738,Beth Defoe,Andover High School,Freestyle,0:20:06.7,4:01 Min/Km,3:20.6,108
29,690,Alexis Mullen,Orono High School,Freestyle,0:20:06.7,4:01 Min/Km,3:20.6,107
30,672,Callie Knapp,Brainerd,Freestyle,0:20:08.6,4:01 Min/Km,3:22.4,106
31,622,Alex Harmdierks,Chaska and Chanhassen HSs,Freestyle,0:20:12.3,4:02 Min/Km,3:26.2,105
32,726,Brita Larson,Duluth East HS,Freestyle,0:20:14.0,4:02 Min/Km,3:27.9,104
33,728,Carli Vrchota,Alexandria,Freestyle,0:20:16.9,4:03 Min/Km,3:30.8,
34,669,Olivia Anderson,Chaska and Chanhassen HSs,Freestyle,0:20:18.3,4:03 Min/Km,3:32.2,102
35,696,Frances Ryan,Roseville Area High School,Freestyle,0:20:19.2,4:03 Min/Km,3:33.0,101
36,613,Sofie Overturf,Moorhead High School,Freestyle,0:20:21.4,4:04 Min/Km,3:35.3,100
37,682,Olivia Ellenbecker,Coon Rapids High School,Freestyle,0:20:25.8,4:05 Min/Km,3:39.7,99
38,668,Claire Larson,White Bear Lake,Freestyle,0:20:26.2,4:05 Min/Km,3:40.1,98
39,689,Jay Lidberg,Andover High School,Freestyle,0:20:31.3,4:06 Min/Km,3:45.2,
40,749,Kate Ludwig,Moorhead High School,Freestyle,0:20:33.5,4:06 Min/Km,3:47.3,96
41,614,Claire Wagner,Edina High School,Freestyle,0:20:34.7,4:06 Min/Km,3:48.6,95
42,702,Ingrid Sokup,Hayward Nordic Ski Team,Freestyle,0:20:36.6,4:07 Min/Km,3:50.5,94
43,698,Natalie Fultz,ME / VA / EG Nordic Team,Freestyle,0:20:38.3,4:07 Min/Km,3:52.2,93
44,623,Sophie Farrow,Duluth East HS,Freestyle,0:20:44.4,4:08 Min/Km,3:58.3,
45,647,Etta Leugers,Washburn High School,Freestyle,0:20:46.5,4:09 Min/Km,4:00.4,91
46,748,Jess Nieters,Forest Lake Nordic Team,Freestyle,0:20:57.9,4:11 Min/Km,4:11.7,
47,664,Lily Den Harton,Hopkins,Freestyle,0:21:04.0,4:12 Min/Km,4:17.8,89
48,640,Colette Jemming,Cathedral High School,Freestyle,0:21:08.8,4:13 Min/Km,4:22.7,88
49,651,Emily Johnson,Winona HS Nordic Ski Team,Freestyle,0:21:11.9,4:14 Min/Km,4:25.8,87
50,677,Emily Ingemann,Wayzata,Freestyle,0:21:12.7,4:14 Min/Km,4:26.6,86
51,686,Sadie Schreiner,Edina High School,Freestyle,0:21:16.1,4:15 Min/Km,4:29.9,85
52,717,Jill Serleth,Winona HS Nordic Ski Team,Freestyle,0:21:21.5,4:16 Min/Km,4:35.3,
53,684,Samara Schlauderaff,Grand Rapids HS Nordic Ski Team,Freestyle,0:21:30.5,4:18 Min/Km,4:44.3,83
54,660,Elise Pickar,CEC Nordic,Freestyle,0:21:36.0,4:19 Min/Km,4:49.8,82
55,697,Simone Lundquist,Heritage/Providence Nordic,Freestyle,0:21:37.1,4:19 Min/Km,4:50.9,81
56,637,Taylor Lundquist,Heritage/Providence Nordic,Freestyle,0:21:37.2,4:19 Min/Km,4:51.1,80
57,732,Anna Ingemann,Wayzata,Freestyle,0:21:37.7,4:19 Min/Km,4:51.6,
,,,,,,,,2
Mesabi East Invitational 2018,,,,,,,,
Girls Varsity,,,,,,,,
Rank,Bib,Name,Team,Technique,Time,Pace,Time Back,Points
58,635,Isabel Carr,Superiorland,Freestyle,0:21:37.8,4:19 Min/Km,4:51.7,78
59,615,Lucy Campbell,Marshall Nordic Ski Team,Freestyle,0:21:38.1,4:19 Min/Km,4:52.0,77
60,736,Naomi Ohman,Orono High School,Freestyle,0:21:40.2,4:20 Min/Km,4:54.1,
61,674,Claire Thorpe,Anoka High Schoo,Freestyle,0:21:47.1,4:21 Min/Km,5:01.0,75
62,618,Kora Johnson,Copper Country Ski Tigers,Freestyle,0:21:49.6,4:21 Min/Km,5:03.5,74
63,746,Sarah Hanson,Brainerd,Freestyle,0:21:50.2,4:22 Min/Km,5:04.1,
64,678,Anya Healy,Washburn High School,Freestyle,0:21:51.2,4:22 Min/Km,5:05.1,72
65,685,Lexi Maddux,Moorhead High School,Freestyle,0:21:53.3,4:22 Min/Km,5:07.2,
66,721,Emma Wildeson,Cathedral High School,Freestyle,0:21:56.2,4:23 Min/Km,5:10.1,70
67,747,Grace Ewing,Chaska and Chanhassen HSs,Freestyle,0:21:56.8,4:23 Min/Km,5:10.7,
68,718,Josie Moor,White Bear Lake,Freestyle,0:22:03.3,4:24 Min/Km,5:17.2,68
69,727,Ashley Nelson,Roseville Area High School,Freestyle,0:22:13.1,4:26 Min/Km,5:27.0,
70,725,Tracy Renier,Benilde-St. Margaret,Freestyle,0:22:14.5,4:26 Min/Km,5:28.3,66
71,619,Hannah Feyen,Duluth Denfeld High School,Freestyle,0:22:19.4,4:27 Min/Km,5:33.2,65
72,700,Emma Watson,Marshall Nordic Ski Team,Freestyle,0:22:19.9,4:27 Min/Km,5:33.7,64
73,631,Danielle Ungurian,Simley High School,Freestyle,0:22:28.5,4:29 Min/Km,5:42.4,63
74,679,Maggie Martin,Hayward Nordic Ski Team,Freestyle,0:22:31.6,4:30 Min/Km,5:45.4,
75,688,Annica Carr,Elk River/Zimmerman,Freestyle,0:22:32.8,4:30 Min/Km,5:46.7,61
76,720,Lucy Watson,Marshall Nordic Ski Team,Freestyle,0:22:38.9,4:31 Min/Km,5:52.7,
77,653,Gabby Olson,Mounds View High School,Freestyle,0:22:41.2,4:32 Min/Km,5:55.0,59
